filename,ground_truth,prediction,ground_truth_normalized,prediction_normalized,wer,cer,length_ground_truth,length_prediction
0011_000001.wav,"the nine the eggs, i keep.",the nine the eggs i keep,the nine the eggs i keep,the nine the eggs i keep,0.0,0.0,6,6
0011_000002.wav,"i did go, and made many prisoners.",i did go and made many prisoners,i did go and made many prisoners,i did go and made many prisoners,0.0,0.0,7,7
0011_000003.wav,that i owe my thanks to you.,that i owe my thanks to you,that i owe my thanks to you,that i owe my thanks to you,0.0,0.0,7,7
0011_000004.wav,they went up to the dark mass job had pointed out.,they went up to the dark mess job had pointed out,they went up to the dark mass job had pointed out,they went up to the dark mess job had pointed out,0.09090909090909091,0.02040816326530612,11,11
0011_000005.wav,clear than clear water!,clear than clear water,clear than clear water,clear than clear water,0.0,0.0,4,4
0011_000006.wav,andy what's the gyre and to gimble.,andy what's that gar into the gimble,andy whats the gyre and to gimble,andy whats that gar into the gimble,0.5714285714285714,0.2727272727272727,7,7
0011_000007.wav,i'm as bad as i can be.,i'm as bad as i can be,im as bad as i can be,im as bad as i can be,0.0,0.0,7,7
0011_000008.wav,that was his chief thought.,that was his chief thought,that was his chief thought,that was his chief thought,0.0,0.0,5,5
0011_000009.wav,on the twenty second of last march.,on the twenty second of last march,on the twenty second of last march,on the twenty second of last march,0.0,0.0,7,7
0011_000010.wav,a nauseous draught.,a nauseest draft,a nauseous draught,a nauseest draft,0.6666666666666666,0.3333333333333333,3,3
0011_000011.wav,chapter ten a warm welcome.,chapter ten a warm wilcome,chapter ten a warm welcome,chapter ten a warm wilcome,0.2,0.038461538461538464,5,5
0011_000012.wav,her shoes were like fishes.,her shoes were like fishes,her shoes were like fishes,her shoes were like fishes,0.0,0.0,5,5
0011_000013.wav,i have bunburyed all over goat on two separate occasions.,i have bumberied all over goat on two separate occasions,i have bunburyed all over goat on two separate occasions,i have bumberied all over goat on two separate occasions,0.1,0.05357142857142857,10,10
0011_000014.wav,annie please please don't hurt me!,annie please please don't hurt me,annie please please dont hurt me,annie please please dont hurt me,0.0,0.0,6,6
0011_000015.wav,poor tom now is dead!,poor tom now is dead,poor tom now is dead,poor tom now is dead,0.0,0.0,5,5
0011_000016.wav,"mister share man, i move for a division.",mister sherman i move for a division,mister share man i move for a division,mister sherman i move for a division,0.25,0.07894736842105263,8,7
0011_000017.wav,why has this egg not broken?,why has this egg not broken,why has this egg not broken,why has this egg not broken,0.0,0.0,6,6
0011_000018.wav,then sadly it is much farther.,then sadly it is much farther,then sadly it is much farther,then sadly it is much farther,0.0,0.0,6,6
0011_000019.wav,at the end of four.,at the end of four,at the end of four,at the end of four,0.0,0.0,5,5
0011_000020.wav,at the roots of a bush of a grass.,at the roots of a bush of a grass,at the roots of a bush of a grass,at the roots of a bush of a grass,0.0,0.0,9,9
0011_000021.wav,as rich as peter's son in law!,as rich as peter's son in law,as rich as peters son in law,as rich as peters son in law,0.0,0.0,7,7
0011_000022.wav,and what are doves. and what are doves.,and what oure doves and what are doves,and what are doves and what are doves,and what oure doves and what are doves,0.125,0.05405405405405406,8,8
0011_000023.wav,i thought you meant how old are you?,i thought you meant how old are you,i thought you meant how old are you,i thought you meant how old are you,0.0,0.0,8,8
0011_000024.wav,the football teams give a tea party.,the voteball teams give tea party,the football teams give a tea party,the voteball teams give tea party,0.2857142857142857,0.14285714285714285,7,6
0011_000025.wav,she is now choosing skirt to wear.,she is now choosing a skirt to wear,she is now choosing skirt to wear,she is now choosing a skirt to wear,0.14285714285714285,0.06060606060606061,7,8
0011_000026.wav,let's make the noise like a snake.,let's make the noise like a snake,lets make the noise like a snake,lets make the noise like a snake,0.0,0.0,7,7
0011_000027.wav,monster made a deep bow.,monster made a deep bow,monster made a deep bow,monster made a deep bow,0.0,0.0,5,5
0011_000028.wav,"she had said, so that one could keep up a conversation!",she had said so that one could keep up a conversation,she had said so that one could keep up a conversation,she had said so that one could keep up a conversation,0.0,0.0,11,11
0011_000029.wav,rat came and replied on the leaves.,rat came and replied on the leaves,rat came and replied on the leaves,rat came and replied on the leaves,0.0,0.0,7,7
0011_000030.wav,must a name mean something?,must the name mean something,must a name mean something,must the name mean something,0.2,0.11538461538461539,5,5
0011_000031.wav,all smile were real and the happier the more sincere .,all smile were real and the happier the more sincere,all smile were real and the happier the more sincere,all smile were real and the happier the more sincere,0.0,0.0,10,10
0011_000032.wav,who is been repeating all that hard stuff to you?,who has been repeating all that hart stuff to you,who is been repeating all that hard stuff to you,who has been repeating all that hart stuff to you,0.2,0.0625,10,10
0011_000033.wav,this used to be jerry's occupation.,this used to be jerry's occupation,this used to be jerrys occupation,this used to be jerrys occupation,0.0,0.0,6,6
0011_000034.wav,a divine wrath made her blue eyes awful.,a divine wrath made her blue eyes awful,a divine wrath made her blue eyes awful,a divine wrath made her blue eyes awful,0.0,0.0,8,8
