group,file_name,reference_text,predicted_text,WER,CER,Accuracy (%)
0011,0011_001021.txt,Called out the cloud.,called out to the cloud!,0.5,0.19,50.0
0011,0011_001035.txt,But things haven't change yet.,But things haven't changed yet!,0.4,0.067,60.0
0011,0011_001009.txt,"He owed mister Lawson, I can't tell you how.","I owe it Mr. Lawson, I can't tell you how.",0.444,0.182,55.56
0011,0011_000840.txt,What an impetuous boy he is!,What an impetuous boy he is.,0.167,0.036,83.33
0011,0011_000854.txt,He dreamt them all night.,He dread them all night.,0.2,0.08,80.0
0011,0011_000868.txt,"I said you looked like an egg, sir.","I said you look like an egg, sir.",0.125,0.057,87.5
0011,0011_000883.txt,Fresh pain seized Paul's body.,Fresh pain sees Paul's body.,0.2,0.1,80.0
0011,0011_000897.txt,"Fur flew through the air, teeth gnashed.","Fur flew through the air, teeth gnashed.",0.0,0.0,100.0
0011,0011_000934.txt,"Hurry up, hurry up!",Hurry up! Hurry up!,0.25,0.053,75.0
0011,0011_000920.txt,Her paw went into your eye?,Her paw went into your eye?,0.0,0.0,100.0
0011,0011_000908.txt,"However, somebody killed something.","However, somebody killed something.",0.0,0.0,100.0
0011,0011_000713.txt,I have bunburyed all over goat on two separate occasions.,I have bum-breed all over goat on two separate occasions.,0.1,0.07,90.0
0011,0011_000707.txt,I'm as bad as I can be.,I'm as bad as I can be.,0.0,0.0,100.0
0011,0011_000706.txt,Andy what's the guy and to gimble.,"Andy, what's the guy into gimbal?",0.571,0.206,42.86
0011,0011_000712.txt,Her shoes were like fishes.,Her shoes were like fishes.,0.0,0.0,100.0
0011,0011_000909.txt,A raging fire was in his eyes.,A raging fire was in his eyes.,0.0,0.0,100.0
0011,0011_000921.txt,I am a selfish sinner.,I am a selfish sinner.,0.0,0.0,100.0
0011,0011_000935.txt,"If not, I shall go no further.","If not, I shall go no further.",0.0,0.0,100.0
0011,0011_000896.txt,Clear are your eyes and bright your breath!,Clear all your eyes and bright your breath.,0.25,0.07,75.0
0011,0011_000882.txt,Age forty five if a day a lie.,Age 45 every day of July.,0.75,0.6,25.0
0011,0011_000869.txt,Sam waved his arm vaguely.,Sam waved his arm vaguely.,0.0,0.0,100.0
0011,0011_000855.txt,This speech roused dame ilse to anger.,This speech rouse Dame Ils to anger.,0.286,0.053,71.43
0011,0011_000841.txt,Can I lodge here tonight?,Can I lodge here tonight?,0.0,0.0,100.0
0011,0011_001008.txt,Perhaps you think it is a queer title for this chapter.,Perhaps you think it is queer title for this chapter.,0.091,0.036,90.91
0011,0011_001034.txt,"Another one, ten thousand dollars.","Another one. $10,000.",0.8,0.618,20.0
0011,0011_001020.txt,Goat Billy asked the old chinese guy.,Go Billy ass the old Chinese guy,0.429,0.162,57.14
0011,0011_001036.txt,Over them swooped the eagles.,Over them swooped the eagles!,0.2,0.034,80.0
0011,0011_001022.txt,A special pot too.,A special part two.,0.5,0.167,50.0
0011,0011_000857.txt,"Blackbird, and Jay.",Blackbird and Jay.,0.333,0.053,66.67
0011,0011_000843.txt,Pussy can sit by the fire and sing.,Pussy can sit by the fire and sing.,0.0,0.0,100.0
0011,0011_000894.txt,"Yes, I miss her.","Yes, I miss her.",0.0,0.0,100.0
0011,0011_000880.txt,Toast from the bread fruit tree.,Toast from the breadfruit tree.,0.333,0.031,66.67
